id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/802557	10.2307/802557	Scrapbooks: An Experiment	Marion C. Sheridan	The English Journal	13	4	1924-04-01T00:00:00Z	pp. 279-281	National Council of Teachers of English	fla			
10.2307/803018	10.2307/803018	Book Notices		The English Journal	10	9	1921-11-01T00:00:00Z	pp. 547-548	National Council of Teachers of English	mis			
10.2307/802226	10.2307/802226		W. Wilbur Hatfield	The English Journal	14	7	1925-09-01T00:00:00Z	pp. 573-575	National Council of Teachers of English	brv	The Creative Spirit|Rollo Walter Brown, Foundations of Method|William Heard Kilpatrick, Creative Youth|Hughes Mearns, Dawn|Paul S. Nickerson		
10.2307/802645	10.2307/802645	The Game of Debate	E. B. Richards	The English Journal	9	3	1920-03-01T00:00:00Z	pp. 147-152	National Council of Teachers of English	fla			
10.2307/802593	10.2307/802593	To Mignon P.	Frederick Herbert Adler	The English Journal	14	6	1925-06-01T00:00:00Z	p. 481	National Council of Teachers of English	fla			
10.2307/802222	10.2307/802222	Illumination	Alice Bidwell Wesenberg	The English Journal	14	7	1925-09-01T00:00:00Z	p. 556	National Council of Teachers of English	fla			
10.2307/801946	10.2307/801946	A Practical School Dramatic Society	Milnor Dorey	The English Journal	11	8	1922-10-01T00:00:00Z	pp. 506-507	National Council of Teachers of English	fla			
10.2307/802186	10.2307/802186	The Examiner's Catechism	C. C. Certain	The English Journal	9	5	1920-05-01T00:00:00Z	p. 286	National Council of Teachers of English	fla			
10.2307/801991	10.2307/801991	Volume Information		The English Journal	13	10	1924-12-01T00:00:00Z	pp. 762-768	National Council of Teachers of English	mis			
10.2307/802977	10.2307/802977	The Play Course in High School	Frank G. Tompkins	The English Journal	9	9	1920-11-01T00:00:00Z	pp. 530-533	National Council of Teachers of English	fla			
10.2307/802142	10.2307/802142	To My Little Pocket Shakespeare	Annette Wynne	The English Journal	9	4	1920-04-01T00:00:00Z	p. 231	National Council of Teachers of English	fla			
10.2307/802904	10.2307/802904	Point of Contact in Poetry	Frances Cardwell	The English Journal	14	10	1925-12-01T00:00:00Z	pp. 796-797	National Council of Teachers of English	fla			
10.2307/802732	10.2307/802732	A Lesson Series: Composition and Grammar	Claudia E. Crumpton	The English Journal	13	9	1924-11-01T00:00:00Z	pp. 662-665	National Council of Teachers of English	fla			
10.2307/802065	10.2307/802065	News and Notes		The English Journal	11	2	1922-02-01T00:00:00Z	pp. 121-126	National Council of Teachers of English	mis			
10.2307/802221	10.2307/802221	Book Week: A Project	Evelyn L. Moore	The English Journal	14	7	1925-09-01T00:00:00Z	pp. 553-556	National Council of Teachers of English	fla			
10.2307/802020	10.2307/802020	Teaching Sentence Structure to Freshmen	Mary O. Thomas	The English Journal	14	9	1925-11-01T00:00:00Z	pp. 719-720	National Council of Teachers of English	fla			
10.2307/802819	10.2307/802819	Modern Science and the Rose	F. H. Adler	The English Journal	13	3	1924-03-01T00:00:00Z	p. 205	National Council of Teachers of English	fla			
10.2307/802358	10.2307/802358	Back Matter		The English Journal	14	8	1925-10-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802714	10.2307/802714	Poetry in a Commercial Age	Fred N. Scott	The English Journal	10	10	1921-12-01T00:00:00Z	pp. 549-559	National Council of Teachers of English	fla			
10.2307/801915	10.2307/801915	The Examiner's Catechism	C. C. Certain	The English Journal	9	6	1920-06-01T00:00:00Z	pp. 349-350	National Council of Teachers of English	fla			
10.2307/802991	10.2307/802991	A High-School Library in Action	Carrie Belle Parks	The English Journal	10	5	1921-05-01T00:00:00Z	pp. 274-280	National Council of Teachers of English	fla			
10.2307/802436	10.2307/802436	Back Matter		The English Journal	12	6	1923-06-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802458	10.2307/802458	Our Courses of Study in Literature	Earl Hudelson	The English Journal	12	7	1923-09-01T00:00:00Z	pp. 481-487	National Council of Teachers of English	fla			
10.2307/801986	10.2307/801986	News and Notes	Thos. C. Blaisdell, Dora V. Smith	The English Journal	14	3	1925-03-01T00:00:00Z	pp. 244-254	National Council of Teachers of English	mis			
10.2307/802011	10.2307/802011	Book Notices		The English Journal	13	10	1924-12-01T00:00:00Z	pp. 758-759+761	National Council of Teachers of English	mis			
10.2307/802410	10.2307/802410	Brightening the Corners	Helen D. Maxwell	The English Journal	13	7	1924-09-01T00:00:00Z	p. 498	National Council of Teachers of English	fla			
10.2307/801950	10.2307/801950	News and Notes		The English Journal	11	8	1922-10-01T00:00:00Z	pp. 512-521	National Council of Teachers of English	mis			
10.2307/802797	10.2307/802797	News and Notes		The English Journal	12	5	1923-05-01T00:00:00Z	pp. 350-355	National Council of Teachers of English	mis			
10.2307/802825	10.2307/802825	Editorial: The Perspective. A Better Solution		The English Journal	13	3	1924-03-01T00:00:00Z	pp. 215-216	National Council of Teachers of English	fla			
10.2307/802067	10.2307/802067	Back Matter		The English Journal	11	2	1922-02-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/801976	10.2307/801976	Composition Interests of Junior High School Pupils	Mary Fontaine Laidley	The English Journal	14	3	1925-03-01T00:00:00Z	pp. 201-209	National Council of Teachers of English	fla			
10.2307/802362	10.2307/802362	The English Department Speaks up at Faculty Meeting	Davida McCaslin	The English Journal	14	2	1925-02-01T00:00:00Z	pp. 107-115	National Council of Teachers of English	fla			
10.2307/802981	10.2307/802981	Editorial: The Decennial. Selling Ourselves. A Double Opportunity	J. F. H., W. Wilbur Hatfield	The English Journal	9	9	1920-11-01T00:00:00Z	pp. 540-542	National Council of Teachers of English	fla			
10.2307/801931	10.2307/801931	The Seven Old Dwarfs	C. C. Certain	The English Journal	12	8	1923-10-01T00:00:00Z	p. 568	National Council of Teachers of English	fla			
10.2307/801884	10.2307/801884	A Civic-Art Project as Motivation in Composition	Harriet M. Stone	The English Journal	11	5	1922-05-01T00:00:00Z	pp. 298-299	National Council of Teachers of English	fla			
10.2307/801995	10.2307/801995	The New Type of Examination	J. C. Tressler	The English Journal	13	10	1924-12-01T00:00:00Z	pp. 709-715	National Council of Teachers of English	fla			
10.2307/802406	10.2307/802406	Ability Grouping at Syracuse	Norman J. Whitney	The English Journal	13	7	1924-09-01T00:00:00Z	pp. 482-489	National Council of Teachers of English	fla			
10.2307/802835	10.2307/802835	The "Better Speech Movement" and the World of Business	John Mantle Clapp	The English Journal	10	8	1921-10-01T00:00:00Z	pp. 450-455	National Council of Teachers of English	fla			
10.2307/802998	10.2307/802998		C. S. Pendleton	The English Journal	10	5	1921-05-01T00:00:00Z	pp. 299-300	National Council of Teachers of English	brv	Public Speaking|Clarence Stratton		
10.2307/802187	10.2307/802187	Be a Patriot in Thought, in Deed, in Speech	Frances Starin Felten	The English Journal	9	5	1920-05-01T00:00:00Z	p. 287	National Council of Teachers of English	fla			
10.2307/802698	10.2307/802698	Comparison in Method	May R. Pringle	The English Journal	14	4	1925-04-01T00:00:00Z	pp. 303-310	National Council of Teachers of English	fla			
10.2307/802133	10.2307/802133	Teaching Literature	Edward William Dolch, Jr.	The English Journal	9	4	1920-04-01T00:00:00Z	pp. 185-193	National Council of Teachers of English	fla			
10.2307/802789	10.2307/802789	The Solution of Burke	Hubert A. Wright	The English Journal	12	5	1923-05-01T00:00:00Z	pp. 317-321	National Council of Teachers of English	fla			
10.2307/802870	10.2307/802870	Editorial: For Specialists or Citizens?		The English Journal	10	3	1921-03-01T00:00:00Z	pp. 170-171	National Council of Teachers of English	fla			
