id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract	mystery
10.2307/801013	10.2307/801013	The Undefended Gate	Fred Newton Scott	The English Journal	3	1	1914-01-01T00:00:00Z	pp. 1-14	National Council of Teachers of English	fla			
10.2307/801253	10.2307/801253	Back Matter		The English Journal	8	9	1919-11-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802448	10.2307/802448	Editorial: Ten Years		The English Journal	9	2	1920-02-01T00:00:00Z	p. 114	National Council of Teachers of English	fla			
10.2307/801379	10.2307/801379	Elementary-School Composition	S. L.	The English Journal	4	8	1915-10-01T00:00:00Z	pp. 548-550	National Council of Teachers of English	brv	The Teaching of English|Paul Klapper		
10.2307/801750	10.2307/801750	A College Experiment in Pageant-Making	A. H. Upham	The English Journal	7	9	1918-11-01T00:00:00Z	pp. 557-563	National Council of Teachers of English	fla			
10.2307/800964	10.2307/800964	Editorial: November. Logical or Psychological?		The English Journal	5	7	1916-09-01T00:00:00Z	p. 504	National Council of Teachers of English	fla			
10.2307/801416	10.2307/801416	A Good-English Drive	Margaret Burnside	The English Journal	7	10	1918-12-01T00:00:00Z	pp. 655-658	National Council of Teachers of English	fla			
10.2307/801143	10.2307/801143	Compulsory English	Frederic Allison Tupper	The English Journal	1	6	1912-06-01T00:00:00Z	pp. 381-382	National Council of Teachers of English	fla			
10.2307/801279	10.2307/801279	What We Are Coming To?	Josephine M. Burnham	The English Journal	6	9	1917-11-01T00:00:00Z	p. 622	National Council of Teachers of English	fla			
10.2307/801561	10.2307/801561	The Teacher of English	Franklin T. Baker	The English Journal	2	6	1913-06-01T00:00:00Z	pp. 335-343	National Council of Teachers of English	fla			
10.2307/801130	10.2307/801130	Sex Education: The Opportunity of the Teacher of English	Sarah J. McNary	The English Journal	8	4	1919-04-01T00:00:00Z	pp. 242-247	National Council of Teachers of English	fla			
10.2307/801617	10.2307/801617	Back Matter		The English Journal	6	6	1917-06-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/801508	10.2307/801508	The English Teacher's Card File	Lois Gilbert Sutherland	The English Journal	6	2	1917-02-01T00:00:00Z	pp. 111-112	National Council of Teachers of English	fla			
10.2307/801660	10.2307/801660		Calvin L. Lewis	The English Journal	5	3	1916-03-01T00:00:00Z	pp. 222-223	National Council of Teachers of English	brv	The Natural Method of Voice Production|Floyd S. Muckey		
10.2307/801594	10.2307/801594	The Zick-Zack	Pauline Boisot, Blanche Fletcher	The English Journal	6	5	1917-05-01T00:00:00Z	pp. 318-329	National Council of Teachers of English	fla			
10.2307/801209	10.2307/801209	Volume Information		The English Journal	4	10	1915-12-01T00:00:00Z	pp. 685-690	National Council of Teachers of English	mis			
10.2307/801154	10.2307/801154	An Effort to Standardize Descriptive Theme-Writing for the Senior Year of the High School	Wirt G. Faust	The English Journal	5	4	1916-04-01T00:00:00Z	pp. 257-271	National Council of Teachers of English	fla			
10.2307/801451	10.2307/801451	A Report of the Proceedings of the National Conference on Uniform Entrance Requirements in English	Arthur Willis Leonard	The English Journal	1	5	1912-05-01T00:00:00Z	pp. 294-301	National Council of Teachers of English	mis			
10.2307/802441	10.2307/802441	"Stunts" in Language	Louise Pound	The English Journal	9	2	1920-02-01T00:00:00Z	pp. 88-95	National Council of Teachers of English	fla			
10.2307/801351	10.2307/801351	Front Matter		The English Journal	7	7	1918-09-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/801837	10.2307/801837	Book Notices		The English Journal	1	10	1912-12-01T00:00:00Z	pp. 653-654	National Council of Teachers of English	mis			
10.2307/801005	10.2307/801005	A Note on "Macbeth"	D. D. Peele	The English Journal	6	4	1917-04-01T00:00:00Z	pp. 265-267	National Council of Teachers of English	fla			
10.2307/801344	10.2307/801344	The "English Journal" as Textbook	Edward A. Thurber	The English Journal	2	7	1913-09-01T00:00:00Z	pp. 445-450	National Council of Teachers of English	fla			
10.2307/801311	10.2307/801311	Book Notices		The English Journal	8	7	1919-09-01T00:00:00Z	pp. 457-460	National Council of Teachers of English	mis			
10.2307/801247	10.2307/801247	The Labyrinth of "IE" and "EI"	Alice Berlingett	The English Journal	8	9	1919-11-01T00:00:00Z	pp. 576-577	National Council of Teachers of English	fla			
10.2307/801320	10.2307/801320	A Means of Increasing Literary Appreciation	Harry G. Paul	The English Journal	5	6	1916-06-01T00:00:00Z	pp. 420-422	National Council of Teachers of English	fla			
10.2307/801512	10.2307/801512	News and Notes	J. Milnor Dorey, A. M. Dickson, Clarence Stratton	The English Journal	6	2	1917-02-01T00:00:00Z	pp. 117-126	National Council of Teachers of English	mis			
10.2307/801719	10.2307/801719	The New Social Criticism	H.	The English Journal	5	10	1916-12-01T00:00:00Z	pp. 715-716	National Council of Teachers of English	brv	The Social Criticism of Literature|Gertrude Buck		
10.2307/800978	10.2307/800978	Editorial: "The Transcript" Approves. Literature (?) for Beginners		The English Journal	6	8	1917-10-01T00:00:00Z	pp. 563-565	National Council of Teachers of English	fla			
10.2307/801580	10.2307/801580	A Method of Grading English Composition	James Routh	The English Journal	5	5	1916-05-01T00:00:00Z	pp. 341-345	National Council of Teachers of English	fla			
10.2307/801000	10.2307/801000	Advertising in the English Class	W. H. Cunningham	The English Journal	6	4	1917-04-01T00:00:00Z	pp. 236-242	National Council of Teachers of English	fla			
10.2307/801711	10.2307/801711	The Hat Box in Literature	Martha E. Clay	The English Journal	5	10	1916-12-01T00:00:00Z	pp. 680-683	National Council of Teachers of English	fla			
10.2307/801913	10.2307/801913	The Use of Committees in the English Class	Flora Snyder	The English Journal	9	6	1920-06-01T00:00:00Z	pp. 345-347	National Council of Teachers of English	fla			
10.2307/801474	10.2307/801474	The High-School Play	Walter H. Nichols	The English Journal	3	10	1914-12-01T00:00:00Z	pp. 620-630	National Council of Teachers of English	fla			
10.2307/801045	10.2307/801045	Motives for Composition Work in the Upper Elementary Grades	Isabel McKinney	The English Journal	2	5	1913-05-01T00:00:00Z	pp. 299-304	National Council of Teachers of English	fla			
10.2307/801626	10.2307/801626	Devices for Review	Maude D. Kivlen	The English Journal	3	9	1914-11-01T00:00:00Z	pp. 579-582	National Council of Teachers of English	fla			
10.2307/801575	10.2307/801575	Front Matter		The English Journal	5	5	1916-05-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802141	10.2307/802141	The Play Producer's Notebook	Eliza Thomas	The English Journal	9	4	1920-04-01T00:00:00Z	p. 231	National Council of Teachers of English	fla			
10.2307/801910	10.2307/801910	Unified Subject-Matter for Composition	Cornelia Carhart Ward	The English Journal	9	6	1920-06-01T00:00:00Z	pp. 318-330	National Council of Teachers of English	fla			
10.2307/801763	10.2307/801763	American Speech Week throughout the Nation	Claudia E. Crumpton	The English Journal	8	5	1919-05-01T00:00:00Z	pp. 279-286	National Council of Teachers of English	fla			
10.2307/800960	10.2307/800960	The Little Theater in the High School	Ina Maude Perego	The English Journal	5	7	1916-09-01T00:00:00Z	pp. 483-485	National Council of Teachers of English	fla			
10.2307/801475	10.2307/801475	Lost Motion in the Teaching of English: I. Literature	Helen R. Lang	The English Journal	3	10	1914-12-01T00:00:00Z	pp. 631-643	National Council of Teachers of English	fla			
10.2307/801618	10.2307/801618	Literature and Vocal Expression	Gertrude E. Johnson	The English Journal	3	9	1914-11-01T00:00:00Z	pp. 533-537	National Council of Teachers of English	fla			
10.2307/801652	10.2307/801652	The Triumph of Spring: A May-Day Masque	Lynn Harold Harris	The English Journal	5	3	1916-03-01T00:00:00Z	pp. 181-189	National Council of Teachers of English	fla			
10.2307/800994	10.2307/800994	Book Notices		The English Journal	5	8	1916-10-01T00:00:00Z	pp. 582-584	National Council of Teachers of English	mis			
10.2307/801721	10.2307/801721	Back Matter		The English Journal	5	10	1916-12-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/801718	10.2307/801718	News and Notes	C. C. Certain, Elizabeth Haszinger, Estelle R. Morrison	The English Journal	5	10	1916-12-01T00:00:00Z	pp. 708-714	National Council of Teachers of English	mis			
10.2307/801875	10.2307/801875	A Much-Needed Book	P. H. B.	The English Journal	3	6	1914-06-01T00:00:00Z	p. 396	National Council of Teachers of English	brv	English Drama of the Restoration and Eighteenth Century (1642-1780)|George Henry Nettleton		
10.2307/801511	10.2307/801511	Editorial: Co-operative Investigation. Essentials in the New English Course. The Kansas City Meeting		The English Journal	6	2	1917-02-01T00:00:00Z	pp. 115-116	National Council of Teachers of English	fla			
10.2307/801463	10.2307/801463	How the High-School Teacher of English Can Assist in the Exploitation of Pupils' Powers	T. W. Gosling	The English Journal	2	8	1913-10-01T00:00:00Z	pp. 513-517	National Council of Teachers of English	fla			
10.2307/801450	10.2307/801450	Composition as a Means of Cultivating Literary Appreciation	Mabel Lodge	The English Journal	1	5	1912-05-01T00:00:00Z	pp. 287-293	National Council of Teachers of English	fla			
10.2307/800987	10.2307/800987	An Unusual Course in Composition	George K. Pattee	The English Journal	5	8	1916-10-01T00:00:00Z	pp. 549-555	National Council of Teachers of English	fla			
10.2307/801555	10.2307/801555	The Artistic Teaching of English	Charles G. Osgood	The English Journal	7	1	1918-01-01T00:00:00Z	pp. 15-23	National Council of Teachers of English	fla			
10.2307/801299	10.2307/801299	Back Matter		The English Journal	8	2	1919-02-01T00:00:00Z	p. 142	National Council of Teachers of English	mis			
10.2307/801169	10.2307/801169	The Notebook System of Theme Correcting	Stith Thompson	The English Journal	6	1	1917-01-01T00:00:00Z	pp. 28-33	National Council of Teachers of English	fla			
10.2307/802159	10.2307/802159	News and Notes		The English Journal	9	7	1920-09-01T00:00:00Z	pp. 422-428	National Council of Teachers of English	mis			
10.2307/801551	10.2307/801551	Back Matter		The English Journal	8	3	1919-03-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/800997	10.2307/800997	The Literary Study of the Bible in Michigan High Schools	W. R. Humphreys	The English Journal	6	4	1917-04-01T00:00:00Z	pp. 209-220	National Council of Teachers of English	fla			
10.2307/801563	10.2307/801563	American Literature and the Modern Magazine in the High-School Course	Sarah E. Simons	The English Journal	2	6	1913-06-01T00:00:00Z	pp. 357-361	National Council of Teachers of English	fla			
10.2307/801521	10.2307/801521	A Competition in Letter-Writing	Walter R. Bridgman	The English Journal	2	10	1913-12-01T00:00:00Z	pp. 647-657	National Council of Teachers of English	fla			
