WORDCOUNTS,WEIGHT
the,285
of,209
to,142
and,105
a,103
in,94
is,53
as,50
for,47
that,45
department,42
be,40
he,39
teachers,33
his,31
from,31
are,31
it,30
english,30
with,28
i,28
on,26
should,26
head,25
school,21
or,21
work,21
which,21
have,21
not,19
who,18
can,18
by,17
all,17
what,17
this,17
they,16
teaching,15
but,15
do,15
them,15
we,15
teacher,14
an,14
than,14
more,13
state,13
one,12
some,12
s,11
other,11
conditions,11
at,10
will,10
community,10
each,10
she,9
b,9
their,9
must,9
those,9
heads,9
has,9
classes,9
course,9
schools,9
professional,9
pupils,9
may,8
library,8
under,8
was,8
these,8
first,8
over,8
had,8
problem,8
her,8
year,8
personal,8
administrative,8
needs,8
me,7
etc,7
study,7
new,7
real,7
see,7
duties,7
another,7
meetings,7
supervision,7
city,7
how,7
such,7
would,7
you,7
c,7
when,7
if,6
e,6
special,6
done,6
two,6
my,6
board,6
best,6
departments,6
cultural,6
system,6
free,6
ideal,6
out,6
own,6
good,6
keep,6
standard,6
up,6
tests,5
power,5
make,5
try,5
expert,5
life,5
about,5
then,5
only,5
many,5
paper,5
together,5
there,5
reading,5
particular,5
functions,5
little,5
policies,5
officers,5
our,5
were,5
question,5
years,5
miss,5
clear,5
d,5
brought,5
much,5
said,4
things,4
books,4
york,4
been,4
college,4
properly,4
education,4
educational,4
lower,4
beyond,4
equipment,4
important,4
returns,4
excessive,4
pictures,4
man,4
principal,4
questionnaire,4
well,4
local,4
inspector,4
recognition,4
through,4
very,4
most,4
whole,4
visits,4
full,4
so,4
function,4
living,4
him,4
regular,4
kind,4
theater,4
thing,4
individual,4
few,4
like,4
journal,4
results,4
higher,3
f,3
does,3
tasks,3
interesting,3
authority,3
no,3
plays,3
service,3
attitude,3
success,3
hold,3
essentials,3
get,3
mrs,3
read,3
authorities,3
director,3
following,3
performed,3
lessons,3
show,3
experience,3
ever,3
fact,3
us,3
imply,3
problems,3
law,3
technique,3
sometimes,3
providing,3
experimentation,3
whom,3
teie,3
conduct,3
did,3
abilities,3
children,3
room,3
cities,3
considerable,3
salary,3
last,3
merely,3
better,3
mr,3
corps,3
shall,3
let,3
form,3
necessary,3
however,3
woman,3
particularly,3
grades,3
possible,3
schedule,3
syllabus,3
point,3
example,3
clerical,3
knowledge,3
giving,3
reports,3
freedom,3
actual,3
come,3
examinations,3
students,3
touch,3
least,3
sense,3
next,3
class,3
blank,3
methods,3
reuter,3
young,3
riggs,3
formulate,3
working,3
student,3
develop,3
staff,3
among,3
demonstration,3
general,3
asked,3
activities,3
impossible,2
supervising,2
directors,2
go,2
dramatics,2
assigned,2
adequate,2
whose,2
m,2
matter,2
spelling,2
way,2
provide,2
later,2
usually,2
developed,2
trained,2
represent,2
schoolroom,2
others,2
esprit,2
means,2
excellent,2
comments,2
standing,2
certain,2
responsibilities,2
ten,2
helpful,2
often,2
esective,2
feel,2
once,2
supporting,2
h,2
studies,2
recommendation,2
town,2
regularly,2
drill,2
university,2
supplementary,2
detail,2
improvement,2
established,2
environment,2
present,2
light,2
just,2
culture,2
house,2
chief,2
too,2
being,2
anything,2
arranging,2
indicate,2
picture,2
especially,2
ideas,2
perhaps,2
members,2
classroom,2
set,2
publicity,2
taken,2
opinion,2
know,2
bring,2
appear,2
ourselves,2
standards,2
sheep,2
based,2
seem,2
could,2
plan,2
entering,2
differences,2
hundred,2
far,2
supervisor,2
encouraging,2
take,2
program,2
inland,2
scientific,2
poetry,2
really,2
petty,2
person,2
hand,2
knows,2
helping,2
where,2
replies,2
something,2
attack,2
gets,2
list,2
answer,2
making,2
idea,2
helper,2
council,2
younger,2
practice,2
record,2
perform,2
conferences,2
clinics,2
while,2
number,2
technical,2
right,2
felt,2
credit,2
understanding,2
line,2
used,2
page,2
upon,2
say,2
except,2
part,2
training,2
resources,2
unify,2
along,2
representing,2
himself,2
debates,2
subject,2
minimum,2
significant,2
discussions,2
during,2
ranks,2
records,2
people,2
actually,2
nothing,2
individuals,2
check,2
weekly,2
shown,2
until,2
preparation,2
lists,2
interested,2
help,2
since,2
three,2
graduate,2
national,2
de,2
wish,2
ability,2
slides,2
successful,2
followed,2
hardly,2
smaller,2
appointment,2
high,2
term,2
exercise,2
instruction,2
promotion,2
irl,2
textbooks,2
large,2
left,2
effective,2
teach,2
create,2
departmental,2
even,2
given,2
practically,2
proper,2
doing,2
sent,2
adjust,2
cost,2
widely,2
visit,2
courts,1
prescribed,1
jean,1
ideals,1
commuiiity,1
enough,1
failed,1
alpha,1
accumulate,1
now,1
suggestion,1
etemal,1
interviewing,1
kings,1
likely,1
situation,1
personally,1
understands,1
reduced,1
mention,1
relations,1
frequent,1
duty,1
attempts,1
fuller,1
without,1
identification,1
fairly,1
canle,1
boards,1
letters,1
concerned,1
obey,1
brilliancy,1
robinson,1
chance,1
growth,1
farce,1
abolished,1
aimed,1
groups,1
generous,1
librarian,1
rule,1
till,1
loyal,1
created,1
suggestive,1
tsie,1
claimed,1
foster,1
llbrary,1
tempted,1
nominal,1
bis,1
select,1
na,1
return,1
led,1
sorely,1
appreciation,1
lines,1
ascertaining,1
preparing,1
model,1
determine,1
presentation,1
stimulating,1
myself,1
filing,1
prevent,1
assurance,1
mean,1
cared,1
exaanple,1
conformity,1
represented,1
seen,1
parents,1
requisite,1
realizes,1
permanent,1
colts,1
idealize,1
determining,1
technically,1
tments,1
several,1
magni,1
rigid,1
passing,1
expect,1
esectively,1
identifies,1
speakers,1
surnmarize,1
talk,1
group,1
told,1
adjusting,1
newton,1
skirnnled,1
direct,1
elementary,1
parts,1
gather,1
put,1
denied,1
pages,1
makes,1
star,1
strive,1
cl,1
provisions,1
efficiency,1
impersonal,1
sufficient,1
tend,1
quite,1
checking,1
cases,1
summarized,1
hope,1
transferring,1
depends,1
space,1
miscellaneous,1
table,1
elementaryschool,1
criticism,1
